DATE,MKTGDPTNA646NWDB
1965-01-01,991047619.047619
1966-01-01,1040952380.95238
1967-01-01,1085714285.71429
1968-01-01,1214666666.66667
1969-01-01,1289904761.90476
1970-01-01,1439238095.2381
1971-01-01,1685217058.71103
1972-01-01,2237476420.03773
1973-01-01,2730787476.28084
1974-01-01,3545933562.42841
1975-01-01,4328610489.68432
1976-01-01,4507929104.47761
1977-01-01,5109324009.32401
1978-01-01,5968044209.51466
1979-01-01,7188191881.91882
1980-01-01,8744134354.16152
1981-01-01,8428513568.24625
1982-01-01,8133401049.60217
1983-01-01,8350176782.55746
1984-01-01,8254891864.05767
1985-01-01,8410185739.96405
1986-01-01,9018136020.15113
1987-01-01,9696271268.25148
1988-01-01,10096292842.1543
1989-01-01,10102075213.3151
1990-01-01,12290568181.8182
1991-01-01,13074782608.6957
1992-01-01,15497286295.7938
1993-01-01,14608946896.483
1994-01-01,15632463424.2784
1995-01-01,18030876599.3444
1996-01-01,19587322786.1105
1997-01-01,20746360430.4187
1998-01-01,21803372266.6198
1999-01-01,22943685719.103
2000-01-01,21473261837.0176
2001-01-01,22066031834.2948
2002-01-01,23142153759.5836
2003-01-01,27453007372.9142
2004-01-01,31183059012.4448
2005-01-01,32273007553.5687
2006-01-01,34377310293.0128
2007-01-01,38914078351.8027
2008-01-01,44860969077.1853
2009-01-01,43454935940.1614
2010-01-01,46206331261.1019
2011-01-01,48122838144.5183
2012-01-01,47311196335.2884
2013-01-01,48683848563.8515
2014-01-01,50271342086.4222
2015-01-01,45780069046.659
2016-01-01,44360775649.1664
2017-01-01,42163974956.4834
2018-01-01,42570270107.1147
2019-01-01,41804581484.3655
2020-01-01,41620349986.3089
