DATE,HCIYISTNA066NRUG
1960-01-01,1.0895830392837524
1961-01-01,1.0922871828079224
1962-01-01,1.0949978828430176
1963-01-01,1.0977153778076172
1964-01-01,1.1004395484924316
1965-01-01,1.1031705141067505
1966-01-01,1.1112446784973145
1967-01-01,1.119377851486206
1968-01-01,1.1275705099105835
1969-01-01,1.1358232498168945
1970-01-01,1.1441363096237183
1971-01-01,1.1535530090332031
1972-01-01,1.1630470752716064
1973-01-01,1.1726194620132446
1974-01-01,1.1822705268859863
1975-01-01,1.1920009851455688
1976-01-01,1.2149937152862549
1977-01-01,1.2384299039840698
1978-01-01,1.2623181343078613
1979-01-01,1.2866672277450562
1980-01-01,1.311486005783081
1981-01-01,1.3325995206832886
1982-01-01,1.354053020477295
1983-01-01,1.3758518695831299
1984-01-01,1.3980015516281128
1985-01-01,1.4205079078674316
1986-01-01,1.4517464637756348
1987-01-01,1.4836721420288086
1988-01-01,1.5162997245788574
1989-01-01,1.549644947052002
1990-01-01,1.5837233066558838
1991-01-01,1.6137871742248535
1992-01-01,1.6444218158721924
1993-01-01,1.6756378412246704
1994-01-01,1.707446575164795
1995-01-01,1.7322471141815186
1996-01-01,1.7593605518341064
1997-01-01,1.7868982553482056
1998-01-01,1.8148671388626099
1999-01-01,1.843273639678955
2000-01-01,1.8721247911453247
2001-01-01,1.9044214487075806
2002-01-01,1.9372752904891968
2003-01-01,1.9706957340240479
2004-01-01,2.004693031311035
2005-01-01,2.039276599884033
2006-01-01,2.073808431625366
2007-01-01,2.1089253425598145
2008-01-01,2.144636631011963
2009-01-01,2.180952787399292
2010-01-01,2.217883825302124
2011-01-01,2.273303270339966
2012-01-01,2.3301072120666504
2013-01-01,2.3883309364318848
2014-01-01,2.4480092525482178
2015-01-01,2.509178876876831
2016-01-01,2.567984104156494
2017-01-01,2.6110117435455322
2018-01-01,2.6547598838806152
2019-01-01,2.6992413997650146
