DATE,SLUEM1524ZSTUN
1991-01-01,30.1
1992-01-01,30.51
1993-01-01,30.94
1994-01-01,31.14
1995-01-01,31.47
1996-01-01,31.85
1997-01-01,32.19
1998-01-01,31.66
1999-01-01,31.27
2000-01-01,30.98
2001-01-01,30.15
2002-01-01,30.57
2003-01-01,30.7
2004-01-01,30.46
2005-01-01,28.06
2006-01-01,27.81
2007-01-01,28.03
2008-01-01,28.59
2009-01-01,31.02
2010-01-01,29.49
2011-01-01,42.63
2012-01-01,38.52
2013-01-01,35.05
2014-01-01,34.22
2015-01-01,35.2
2016-01-01,36.01
2017-01-01,35.92
2018-01-01,36.29
2019-01-01,35.78
